"X","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
3534176,2008,6,23,1,1541,1530,1750,1739,"AS",348,"N559AS",129,129,106,11,11,"SEA","OAK",671,9,14,0,"N",0,NA,NA,NA,NA,NA
6544786,2008,12,28,7,1944,1915,2043,2025,"WN",2797,"N501SW",59,70,48,18,29,"MCI","OKC",313,3,8,0,"N",0,11,0,0,0,7
1269125,2008,3,31,1,1603,1500,1711,1605,"WN",616,"N455WN",68,65,43,66,63,"LAS","LAX",236,6,19,0,"N",0,8,0,3,0,55
433028,2008,1,3,4,1636,1630,1916,1922,"NW",546,"N554NW",100,112,82,-6,6,"DEN","MSP",680,5,13,0,"N",0,NA,NA,NA,NA,NA
1738689,2008,3,25,2,5,2355,757,757,"B6",166,"N703JB",292,302,272,0,10,"PDX","JFK",2454,9,11,0,"N",0,NA,NA,NA,NA,NA
4550150,2008,8,26,2,1501,1405,1728,1532,"DL",1469,"N905DE",147,87,87,116,56,"RDU","ATL",356,18,42,0,"N",0,4,0,66,0,46
3834491,2008,7,19,6,1012,1000,1612,1606,"UA",110,"N516UA",240,246,219,6,12,"LAX","ORD",1745,3,18,0,"N",0,NA,NA,NA,NA,NA
2178546,2008,4,11,5,1338,1325,1425,1415,"MQ",3641,"N673AE",47,50,29,10,13,"DFW","GRK",134,3,15,0,"N",0,NA,NA,NA,NA,NA
3544977,2008,6,14,6,1651,1635,1936,1946,"B6",15,"N659JB",165,191,139,-10,16,"JFK","FLL",1069,3,23,0,"N",0,NA,NA,NA,NA,NA
4030841,2008,7,31,4,1912,1735,2052,1925,"MQ",4279,"N506AE",40,50,25,87,97,"ORD","GRR",137,3,12,0,"N",0,0,0,18,0,69
3823863,2008,7,28,1,1623,1600,1717,1700,"OO",3662,"N461SW",114,120,91,17,23,"ATL","TUL",674,4,19,0,"N",0,17,0,0,0,0
6217194,2008,11,25,2,1012,950,1146,1124,"DL",961,"N833MH",94,94,65,22,22,"ATL","MCO",403,7,22,0,"N",0,22,0,0,0,0
3305139,2008,6,24,2,1211,1155,1904,1855,"DL",36,"N3735D",233,240,202,9,16,"LAS","CVG",1678,5,26,0,"N",0,NA,NA,NA,NA,NA
5470842,2008,10,29,3,1050,1040,1331,1340,"WN",2565,"N778SW",101,120,91,-9,10,"MDW","PHL",668,4,6,0,"N",0,NA,NA,NA,NA,NA
2132010,2008,4,10,4,1038,1030,1444,1358,"F9",232,"N930FR",186,148,132,46,8,"DEN","BNA",1013,9,45,0,"N",0,8,0,38,0,0
1911152,2008,4,5,6,913,850,1131,1058,"XE",2916,"N13965",138,128,110,33,23,"IAH","OMA",781,3,25,0,"N",0,23,0,10,0,0
5063320,2008,9,13,6,2059,1957,2212,2129,"UA",959,"N593UA",133,152,119,43,62,"ORD","DEN",888,5,9,0,"N",0,0,27,0,0,16
1213815,2008,3,14,5,852,845,1032,1040,"WN",1159,"N371SW",100,115,84,-8,7,"OAK","PHX",646,6,10,0,"N",0,NA,NA,NA,NA,NA
1121900,2008,2,8,5,1834,1500,2127,1810,"B6",1234,"N607JB",173,190,152,197,214,"RSW","BOS",1249,4,17,0,"N",0,178,0,0,0,19
6618784,2008,12,12,5,1620,1605,1640,1615,"OO",2813,"N498CA",80,70,59,25,15,"CMH","MKE",331,5,16,0,"N",0,1,0,10,0,14
1514347,2008,3,19,3,2217,2027,2320,2131,"EV",4577,"N760EV",63,64,28,109,110,"ATL","GSP",153,3,32,0,"N",0,0,0,109,0,0
3015812,2008,6,9,1,1450,1430,1610,1535,"WN",37,"N639SW",80,65,68,35,20,"AMA","DAL",324,5,7,0,"N",0,0,0,15,0,20
2472159,2008,5,28,3,1337,1330,1533,1535,"WN",3328,"N360SW",56,65,42,-2,7,"MDW","CMH",284,2,12,0,"N",0,NA,NA,NA,NA,NA
2733662,2008,5,10,6,1914,1855,2351,2341,"F9",629,"N908FR",157,166,138,10,19,"DEN","DTW",1123,7,12,0,"N",0,NA,NA,NA,NA,NA
4836481,2008,8,10,7,2306,2236,41,13,"DL",1540,"N914DL",95,97,74,28,30,"ATL","PBI",545,5,16,0,"N",0,28,0,0,0,0
2033522,2008,4,5,6,1924,1640,2,2127,"UA",1146,"N853UA",158,167,136,155,164,"DEN","DTW",1123,9,13,0,"N",0,0,0,0,0,155
2181303,2008,4,30,3,1723,1655,1845,1810,"MQ",3763,"N681AE",82,75,53,35,28,"DFW","SGF",364,2,27,0,"N",0,0,0,7,0,28
2716883,2008,5,21,3,1927,1901,2000,1938,"EV",4457,"N761EV",33,37,16,22,26,"ATL","MCN",79,3,14,0,"N",0,22,0,0,0,0
1245545,2008,3,24,1,1248,1230,1343,1330,"WN",1659,"N713SW",55,60,45,13,18,"HOU","MSY",303,3,7,0,"N",0,NA,NA,NA,NA,NA
3119748,2008,6,14,6,1643,1557,1911,1757,"XE",2393,"N12160",148,120,116,74,46,"EWR","TYS",631,5,27,0,"N",0,2,0,28,0,44
5808415,2008,10,14,2,1754,1700,1911,1831,"9E",2994,"86889E",77,91,59,40,54,"BGM","DTW",378,11,7,0,"N",0,0,0,0,0,40
3499661,2008,6,21,6,2042,1755,2358,2135,"AA",1294,"N3CBAA",136,160,117,143,167,"IAH","MIA",964,8,11,0,"N",0,0,0,0,0,143
3984934,2008,7,20,7,1822,1802,2033,2026,"FL",493,"N946AT",131,144,117,7,20,"TPA","BWI",842,5,9,0,"N",0,NA,NA,NA,NA,NA
6827916,2008,12,24,3,1750,1700,1850,1800,"MQ",3695,"N821MQ",60,60,37,50,50,"DFW","FSM",228,5,18,0,"N",0,50,0,0,0,0
2843485,2008,5,2,5,2158,2105,2250,2145,"OH",5022,"N442CA",112,100,76,65,53,"CVG","DSM",505,5,31,0,"N",0,53,0,12,0,0
1180754,2008,3,4,2,2011,1955,2150,2135,"WN",3187,"N602SW",99,100,86,15,16,"RDU","MCO",534,7,6,0,"N",0,0,0,0,0,15
5525500,2008,10,3,5,1455,1437,1628,1549,"OH",6352,"N940CA",93,72,47,39,18,"ATL","GSO",306,6,40,0,"N",0,18,0,21,0,0
3528999,2008,6,11,3,1750,1738,1839,1832,"AS",67,"N767AS",49,54,38,7,12,"KTN","SIT",183,3,8,0,"N",0,NA,NA,NA,NA,NA
5703773,2008,10,7,2,1522,1217,1730,1433,"EV",5013,"N761ND",68,76,48,177,185,"JAN","ATL",341,10,10,0,"N",0,0,0,0,0,177
1295098,2008,3,1,6,1258,705,1740,1059,"XE",2240,"N26141",222,174,189,401,353,"TUL","EWR",1215,10,23,0,"N",0,353,0,48,0,0
5887763,2008,10,3,5,1346,1340,1521,1518,"B6",915,"N236JB",155,158,134,3,6,"JFK","ORD",740,5,16,0,"N",0,NA,NA,NA,NA,NA
3474135,2008,6,24,2,1420,1315,2240,2155,"AA",32,"N320AA",320,340,294,45,65,"LAX","JFK",2475,6,20,0,"N",0,0,0,45,0,0
3245126,2008,6,6,5,2010,1731,2241,1959,"UA",1143,"N513UA",271,268,220,162,159,"EWR","DEN",1605,7,44,0,"N",0,0,0,9,0,153
5367493,2008,9,1,1,1537,1456,1652,1630,"DL",1526,"N928DL",75,94,61,22,41,"ATL","DAY",432,6,8,0,"N",0,0,0,22,0,0
5471028,2008,10,29,3,819,800,930,920,"WN",218,"N741SA",71,80,54,10,19,"OAK","LAX",337,8,9,0,"N",0,NA,NA,NA,NA,NA
3159269,2008,6,21,6,1056,1030,1242,1202,"OH",5406,"N812CA",106,92,76,40,26,"BWI","BOS",370,12,18,0,"N",0,0,26,14,0,0
5873274,2008,10,24,5,1433,1335,1629,1545,"AA",2428,"N465AA",116,130,97,44,58,"ATL","LGA",761,4,15,0,"N",0,0,3,0,0,41
6785576,2008,12,16,2,1823,1800,2000,1920,"F9",551,"N939FR",157,140,144,40,23,"DEN","SAN",853,4,9,0,"N",0,23,0,17,0,0
1836447,2008,4,17,4,1836,1740,1850,1755,"WN",2355,"N752SW",74,75,52,55,56,"ABQ","PHX",328,6,16,0,"N",0,55,0,0,0,0
1037134,2008,2,26,2,1346,1330,1501,1438,"9E",2990,"87479E",75,68,36,23,16,"DAY","DTW",166,12,27,0,"N",0,0,0,7,0,16
485361,2008,1,11,5,1633,1625,2006,2000,"AA",472,"N441AA",153,155,116,6,8,"SLC","DFW",988,15,22,0,"N",0,NA,NA,NA,NA,NA
1442675,2008,3,5,3,1839,1815,2112,2042,"US",1927,"N934UW",153,147,119,30,24,"BOS","CLT",728,5,29,0,"N",0,24,0,6,0,0
1231825,2008,3,20,4,1001,955,1037,1040,"WN",1482,"N769SW",96,105,86,-3,6,"BOI","LAS",520,4,6,0,"N",0,NA,NA,NA,NA,NA
1568559,2008,3,8,6,1050,1040,1222,1210,"MQ",3364,"N647AE",92,90,77,12,10,"DAL","MCI",461,5,10,0,"N",0,NA,NA,NA,NA,NA
3666568,2008,7,21,1,1900,1830,11,2350,"WN",2310,"N747SA",191,200,177,21,30,"PHX","BNA",1448,6,8,0,"N",0,0,0,0,0,21
1632313,2008,3,18,2,1140,1130,1324,1254,"NW",1641,"N315NB",164,144,142,30,10,"DCA","MEM",762,6,16,0,"N",0,0,0,20,0,10
675714,2008,2,24,7,2046,1930,2233,2100,"WN",1631,"N790SW",107,90,76,93,76,"LAS","OAK",407,22,9,0,"N",0,12,0,17,0,64
339611,2008,1,22,2,1819,1800,1947,1925,"EV",4702,"N835AS",88,85,52,22,19,"CLT","ATL",227,12,24,0,"N",0,0,0,22,0,0
249359,2008,1,27,7,1100,732,1400,1100,"UA",1232,"N904UA",120,148,97,180,208,"BUR","DEN",850,11,12,0,"N",0,180,0,0,0,0
667089,2008,2,21,4,1749,1740,2053,2040,"WN",989,"N237WN",124,120,95,13,9,"MDW","MHT",838,4,25,0,"N",0,NA,NA,NA,NA,NA
5024923,2008,9,22,1,1601,1555,1717,1710,"OO",2829,"N986CA",76,75,57,7,6,"MKE","MSP",297,3,16,0,"N",0,NA,NA,NA,NA,NA
6823246,2008,12,21,7,959,935,1126,1100,"MQ",3493,"N524MQ",207,205,187,26,24,"DFW","SBA",1315,4,16,0,"N",0,17,0,2,0,7
1224536,2008,3,17,1,1958,1945,2213,2205,"WN",2358,"N641SW",135,140,120,8,13,"TPA","IAD",810,5,10,0,"N",0,NA,NA,NA,NA,NA
6860522,2008,12,22,1,1624,1239,1834,1440,"NW",535,"N359NW",130,121,81,234,225,"LGA","DTW",501,9,40,0,"N",0,5,0,9,0,220
1380225,2008,3,21,5,1234,1015,1257,1042,"OO",5954,"N970SW",83,87,71,135,139,"LEX","ORD",323,6,6,0,"N",0,0,0,135,0,0
2084407,2008,4,1,2,1031,1015,1138,1125,"WN",3403,"N623SW",67,70,55,13,16,"SJC","ONT",333,4,8,0,"N",0,NA,NA,NA,NA,NA
1565862,2008,3,4,2,1301,1250,1411,1351,"MQ",3235,"N307AE",70,61,43,20,11,"DFW","LAW",140,5,22,0,"N",0,0,0,9,0,11
3698785,2008,7,31,4,1417,1410,1515,1510,"WN",188,"N769SW",58,60,41,5,7,"DAL","SAT",248,3,14,0,"N",0,NA,NA,NA,NA,NA
2984722,2008,5,9,5,1358,1335,1841,1835,"DL",940,"N955DL",163,180,138,6,23,"ABQ","CVG",1240,9,16,0,"N",0,NA,NA,NA,NA,NA
6958010,2008,12,7,7,1534,1521,1705,1715,"B6",1417,"N239JB",151,174,136,-10,13,"MCO","AUS",993,3,12,0,"N",0,NA,NA,NA,NA,NA
2143141,2008,4,8,2,1502,1437,1740,1717,"FL",337,"N176AT",158,160,125,23,25,"MCO","LGA",950,21,12,0,"N",0,0,0,23,0,0
6227580,2008,11,29,6,1432,1420,1503,1453,"EV",5038,"N926EV",91,93,77,10,12,"ATL","LIT",453,3,11,0,"N",0,NA,NA,NA,NA,NA
6523867,2008,12,21,7,2344,2120,110,2245,"WN",1220,"N314SW",86,85,70,145,144,"MDW","OMA",423,2,14,0,"N",0,0,30,1,0,114
1965187,2008,4,19,6,1054,921,1139,1000,"OO",5720,"N218SW",45,39,23,99,93,"MOD","SFO",78,12,10,0,"N",0,93,0,6,0,0
673133,2008,2,23,6,1112,910,1236,1035,"WN",366,"N323SW",84,85,67,121,122,"LAX","SFO",337,5,12,0,"N",0,0,0,121,0,0
5141211,2008,9,13,6,1226,1155,1434,1354,"EV",4810,"N976EV",68,59,30,40,31,"HSV","ATL",151,5,33,0,"N",0,31,0,9,0,0
5451572,2008,10,23,4,1452,1440,1553,1545,"WN",1904,"N236WN",61,65,53,8,12,"OAK","BUR",325,2,6,0,"N",0,NA,NA,NA,NA,NA
2554243,2008,5,27,2,1550,1500,1755,1639,"OH",5666,"N403CA",125,99,78,76,50,"DCA","BOS",399,10,37,0,"N",0,0,0,76,0,0
4252724,2008,8,8,5,627,620,816,815,"WN",3506,"N372SW",109,115,95,1,7,"PHX","SJC",621,3,11,0,"N",0,NA,NA,NA,NA,NA
2216686,2008,4,20,7,1529,1515,1711,1723,"NW",511,"N338NB",162,188,137,-12,14,"LGA","MSP",1020,8,17,0,"N",0,NA,NA,NA,NA,NA
2807408,2008,5,1,4,614,600,746,735,"MQ",4714,"N716AE",92,95,67,11,14,"RDU","JFK",426,7,18,0,"N",0,NA,NA,NA,NA,NA
1238538,2008,3,22,6,1921,1830,2129,2035,"WN",1563,"N210WN",188,185,173,54,51,"ABQ","SEA",1180,5,10,0,"N",0,26,0,3,0,25
899598,2008,2,22,5,1639,1444,1737,1551,"DL",584,"N973DL",58,67,38,106,115,"ATL","CLT",227,6,14,0,"N",0,0,0,0,0,106
4560450,2008,8,25,1,1922,1655,2124,1855,"EV",4280,"N844AS",62,60,29,149,147,"DHN","ATL",171,25,8,0,"N",0,0,147,2,0,0
5148206,2008,9,23,2,1717,1650,1848,1835,"EV",4915,"N748EV",91,105,77,13,27,"CAK","ATL",528,6,8,0,"N",0,NA,NA,NA,NA,NA
4224630,2008,7,13,7,1819,1617,1913,1730,"DL",1596,"N905DE",54,73,35,103,122,"ATL","SAV",215,5,14,0,"N",0,0,20,0,0,83
3908438,2008,7,29,2,1551,1540,1809,1759,"US",1282,"N457UW",138,139,123,10,11,"PBI","DCA",857,5,10,0,"N",0,NA,NA,NA,NA,NA
664839,2008,2,20,3,1347,1340,1547,1550,"WN",1105,"N672SW",120,130,108,-3,7,"SJC","SEA",697,5,7,0,"N",0,NA,NA,NA,NA,NA
2044164,2008,4,1,2,2150,2035,4,2200,"US",760,"N740UW",134,85,48,124,75,"PHL","PIT",267,4,82,0,"N",0,7,0,49,0,68
1529645,2008,3,18,2,34,2008,346,2330,"F9",166,"N807FR",132,142,113,256,266,"SJC","DEN",948,9,10,0,"N",0,252,0,0,0,4
4689484,2008,8,6,3,1945,1937,2138,2131,"NW",1627,"N331NB",173,174,144,7,8,"DTW","IAH",1076,12,17,0,"N",0,NA,NA,NA,NA,NA
553529,2008,1,14,1,1727,1705,2023,2035,"B6",489,"N613JB",356,390,327,-12,22,"BOS","LGB",2602,4,25,0,"N",0,NA,NA,NA,NA,NA
5461111,2008,10,26,7,1412,1350,1649,1635,"WN",1738,"N259WN",97,105,83,14,22,"PHX","DEN",602,4,10,0,"N",0,NA,NA,NA,NA,NA
4467092,2008,8,15,5,721,600,940,803,"UA",399,"N849UA",259,243,227,97,81,"LGA","DEN",1619,9,23,0,"N",0,81,0,16,0,0
6145271,2008,11,20,4,612,600,748,725,"UA",635,"N411UA",156,145,123,23,12,"EWR","ORD",719,2,31,0,"N",0,12,0,11,0,0
4933574,2008,9,30,2,1955,1925,2020,2000,"WN",1540,"N396SW",85,95,70,20,30,"DTW","STL",440,4,11,0,"N",0,0,0,0,0,20
2180711,2008,4,13,7,1603,1545,1645,1635,"MQ",3736,"N508AE",42,50,30,10,18,"GRK","DFW",134,7,5,0,"N",0,NA,NA,NA,NA,NA
6353159,2008,11,7,5,926,915,1210,1215,"9E",5807,"91769E",104,120,85,-5,11,"IAH","ATL",689,6,13,0,"N",0,NA,NA,NA,NA,NA
4463704,2008,8,17,7,1923,1913,2148,2138,"UA",307,"N433UA",325,325,301,10,10,"BWI","LAX",2329,12,12,0,"N",0,NA,NA,NA,NA,NA
6342907,2008,11,20,4,1927,1920,2050,2020,"9E",2462,"85779E",143,120,91,30,7,"DAY","MSP",574,4,48,0,"N",0,0,0,23,0,7
